cardIndex, vocabulary, vocaInterpret, sentence, sentenceInterpret
1, cave, 동굴/ 굴, Bats live in deep caves., 박쥐는 깊은 동굴에서 산다.
2, email, 이메일/ 전자우편, What is your email address?, 네 이메일 주소가 뭐니?
3, war, 전쟁, Many people died in the war., 많은 사람들이 그 전쟁에서 죽었다.
4, stage, 단계/ 시기, We are in an early stage of the plan., 우리는 그 계획의 초기 단계에 있다.
5, coach, (스포츠 팀의) 코치, The coach is giving advice to a player., 그 코치는 선수에게 조언을 하고 있다.
6, oil, 석유/ 기름, The price of oil is coming down., 석유 가격이 떨어지고 있다.
7, exit, 출구, Where is the exit?, 출구가 어디죠?
8, pure, 순수한/ 깨끗한, This scarf is made of pure silk., 이 스카프는 순수 실크로 만들어졌다.
9, shade, 그늘, Let's take a rest in the shade., 그늘에서 좀 쉬자.
10, wing, 날개, The butterfly has beautiful wings., 그 나비는 아름다운 날개를 가지고 있다.
11, still, 아직도/ 여전히, Are you still doing homework?, 아직도 숙제 하고 있니?
12, bury, (땅에) 묻다/ 매장하다, We buried the dog in the back yard., 우리는 그 개를 뒷마당에 묻었다.
13, comic, 웃기는/ 희극의, The movie has many comic scenes., 그 영화는 웃기는 장면이 많다.
14, valley, 계곡/ 골짜기, I walked through the valley., 나는 그 계곡을 걸어갔다.
15, machine, 기계, Can you fix this machine?, 이 기계를 고칠 수 있니?
16, everyday, 일상의/ 매일의, Please come to the party in everyday clothes., 평상복 차림으로 파티에 참석해 주세요.
17, neighbor, 이웃, He is my new neighbor., 그는 나의 새로운 이웃이다.
18, useful, 쓸모 있는/ 유용한, This program is very useful., 이 프로그램은 매우 유용하다.
19, joy, 기쁨/ 환희, Her face was full of joy., 그녀의 얼굴은 기쁨으로 가득 차 있었다.
20, award, 상, The actor won a lot of awards., 그 배우는 많은 상을 받았다.
21, active, 활동적인, My father is active for his age., 아버지는 연세에 비해 활동적이시다.
22, search, 찾다, They are searching for the key., 그들은 열쇠를 찾고 있다.
23, perfect, 완전한/ 완벽한, You have perfect teeth., 너는 완벽한 치아를 가지고 있구나.
24, advice, 충고/ 조언, He took his father's advice., 그는 아버지의 충고를 받아들였다.
